microsample	richness	neutral	phylogenetic	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection	collection_attempts	cycles	animal	protocol
M300582	78	38.89853111657574	3.892952084133004	Caecum right	Positive	MSEB0006	G121eI101B	B12	77019.21278	29448.2447	5000	Success	1	13	G121e	ULV2_Full
M300583	95	38.37384360744179	3.987069147699801	Caecum right	Positive	MSEB0006	G121eI101B	B12	77009.20244	28923.10328	5000	Success	1	13	G121e	ULV2_Full
M300584	104	44.91862628378574	3.976944018046196	Caecum right	Positive	MSEB0006	G121eI101B	B12	77019.41278	28061.84066	5000	Fail	4	13	G121e	ULV2_Full
M300585	0	1	0	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B12	NA	NA	NA	NA	0	13	G121e	ULV2_Full
M300586	0	1	0	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	73652.53888	35857.69264	5000	Success	1	13	G121e	ULV2_Full
M300587	0	1	0	Caecum right	NegativeReaction	MSEB0006	G121eI101R	B12	NA	NA	NA	NA	0	13	G121e	ULV2_Full
M300588	102	42.61872833493633	3.982441706839534	Caecum right	Positive	MSEB0006	G121eI101B	B12	75330.01734	26890.36198	5000	Success	1	13	G121e	ULV2_Full
M300589	99	41.45969066694965	3.947813094137883	Caecum right	Positive	MSEB0006	G121eI101B	B12	75862.86558	27323.96416	5000	Success	3	13	G121e	ULV2_Full
M300590	96	40.48216188266011	4.1150600216052435	Caecum right	Positive	MSEB0006	G121eI101B	B12	76508.23134	27653.83552	5000	Success	1	13	G121e	ULV2_Full
M300591	0	1	0	Caecum right	Positive	MSEB0006	G121eI101B	B12	76848.92556	27815.44156	5000	Success	1	13	G121e	ULV2_Full
M300592	103	40.97123433805971	4.076388249911783	Caecum right	Positive	MSEB0006	G121eI101B	B12	77351.46416	28017.2736	5000	Success	1	13	G121e	ULV2_Full
M300593	98	42.12655000309731	4.066537974762938	Caecum right	Positive	MSEB0006	G121eI101B	B12	77854.21644	28261.4887	5000	Success	1	13	G121e	ULV2_Full
M300594	96	43.659878995915236	4.051124507340077	Caecum right	Positive	MSEB0006	G121eI101B	B12	75509.65016	26477.81882	5000	Success	2	13	G121e	ULV2_Full
M300595	102	37.73876572062431	4.060686975892004	Caecum right	Positive	MSEB0006	G121eI101B	B12	75650.54014	26591.91336	5000	Success	1	13	G121e	ULV2_Full
M300596	105	40.160723517751244	4.044811616195722	Caecum right	Positive	MSEB0006	G121eI101B	B12	75822.8379	26598.11002	5000	Success	1	13	G121e	ULV2_Full
M300597	100	40.5825053703617	4.091725349426793	Caecum right	Positive	MSEB0006	G121eI101B	B12	76147.10238	26625.27964	5000	Success	1	13	G121e	ULV2_Full
M300598	101	41.88701091498883	4.037101047926913	Caecum right	Positive	MSEB0006	G121eI101B	B12	76899.2447	26623.5228	5000	Fail	4	13	G121e	ULV2_Full
M300599	104	42.93210039116319	3.9552975868344276	Caecum right	Positive	MSEB0006	G121eI101B	B12	76852.72528	26643.02112	5000	Success	1	13	G121e	ULV2_Full
M300600	0	1	0	Caecum right	NegativeCollection	MSEB0006	G121eI101Z	B12	NA	NA	NA	NA	0	13	G121e	ULV2_Full
M300601	0	1	0	Caecum right	NegativeMebrane	MSEB0006	G121eI101M	B12	72982.58182	21722.53192	5000	Success	2	13	G121e	ULV2_Full
M300602	4	3.2586940685583317	1.4479815897091342	Ileum	Positive	MSEB0006	G121eD101C	B11	104424.7	42749.48	5000	Success	2	14	G121e	ULV2_Full
M300603	3	2.0266029631359177	1.2655145501877478	Ileum	Positive	MSEB0006	G121eD101C	B11	104606.9	42459.54	5000	Success	1	14	G121e	ULV2_Full
M300604	0	1	0	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101758.4	36668.7	5000	Success	1	14	G121e	ULV2_Full
M300605	2	1.7290806954576117	1.2152716425714027	Ileum	Positive	MSEB0006	G121eD101C	B11	104954.5	42730.89	5000	Success	2	14	G121e	ULV2_Full
M300606	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	105122.5	42666.74	5000	Success	1	14	G121e	ULV2_Full
M300607	0	1	0	Ileum	NegativeReaction	MSEB0006	G121eD101R	B11	NA	NA	NA	NA	0	14	G121e	ULV2_Full
M300608	4	2.614424362390257	1.428466766577538	Ileum	Positive	MSEB0006	G121eD101C	B11	105262.7	42589.77	5000	Success	1	14	G121e	ULV2_Full
M300609	4	3.0961106151200197	1.4570762796512857	Ileum	Positive	MSEB0006	G121eD101C	B11	105328.9	42703.6	5000	Success	1	14	G121e	ULV2_Full
M300610	4	3.092444577299526	1.4799795005999696	Ileum	Positive	MSEB0006	G121eD101C	B11	105102.4	41497.1	5000	Success	1	14	G121e	ULV2_Full
M300611	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	105146	41596.22	5000	Success	1	14	G121e	ULV2_Full
M300612	4	3.200069557641856	1.4684259367201251	Ileum	Positive	MSEB0006	G121eD101C	B11	105281	41702.52	5000	Success	1	14	G121e	ULV2_Full
M300613	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	105408.3	41533.66	5000	Fail	4	14	G121e	ULV2_Full
M300614	0	1	0	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101928.6	37181.6	5000	Success	4	14	G121e	ULV2_Full
M300615	0	1	0	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B11	NA	NA	NA	NA	0	14	G121e	ULV2_Full
M300616	3	1.6024699453212008	1.1934829064140098	Ileum	Positive	MSEB0006	G121eD101C	B11	105595.7	41999.37	5000	Success	1	14	G121e	ULV2_Full
M300617	4	2.59762081569768	1.4118947489257145	Ileum	Positive	MSEB0006	G121eD101C	B11	105983	42106.21	5000	Fail	4	14	G121e	ULV2_Full
M300618	0	1	0	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B11	101861.4	37375.71	5000	Success	1	14	G121e	ULV2_Full
M300619	3	1.8595727551005907	1.238594551863873	Ileum	Positive	MSEB0006	G121eD101C	B11	106845.7	41525.8	5000	Success	2	14	G121e	ULV2_Full
M300620	0	1	0	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B11	NA	NA	NA	NA	0	14	G121e	ULV2_Full
M300621	0	1	0	Ileum	Positive	MSEB0006	G121eD101C	B11	107360.5	41744.06	5000	Fail	4	14	G121e	ULV2_Full
M300622	3	2.658765028367756	1.354420315670586	Ileum	Positive	MSEB0006	G121eD101C	B11	107262.3	42133.87	5000	Success	2	14	G121e	ULV2_Full
M300623	3	2.873136232856682	1.3813880732104313	Ileum	Positive	MSEB0006	G121eD101C	B11	107820.6	41925.02	5000	Success	2	14	G121e	ULV2_Full
M300624	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B11	107233.5	41764.35	5000	Success	2	14	G121e	ULV2_Full
M300625	0	1	0	Ileum	Positive	MSEB0006	G121eD101C	B11	107258.1	42448.02	5000	Fail	4	14	G121e	ULV2_Full
M300626	0	1	0	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B12	NA	NA	NA	NA	0	14	G121e	ULV2_Full
M300627	3	2.8629312399722973	1.3801281933852	Ileum	Positive	MSEB0006	G121eD101C	B12	108112	45420.81	5000	Success	2	14	G121e	ULV2_Full
M300628	4	2.6288288503453683	1.5013236041152183	Ileum	Positive	MSEB0006	G121eD101C	B12	108221.6	45346.45	5000	Success	1	14	G121e	ULV2_Full
M300629	4	1.9071441796708388	1.303241319363526	Ileum	Positive	MSEB0006	G121eD101C	B12	108085.5	45636.13	5000	Success	1	14	G121e	ULV2_Full
M300630	4	1.8543130800234775	1.281917056460783	Ileum	Positive	MSEB0006	G121eD101C	B12	108093.7	45848.93	5000	Success	3	14	G121e	ULV2_Full
M300631	5	3.608828006238082	1.723867133671748	Ileum	Positive	MSEB0006	G121eD101C	B12	107697.5	45704.29	5000	Success	1	14	G121e	ULV2_Full
M300632	0	1	0	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	102872.4	38456.93	5000	Fail	4	14	G121e	ULV2_Full
M300633	6	2.1792157570616064	1.4345277231277227	Ileum	Positive	MSEB0006	G121eD101C	B12	107727.5	45487.09	5000	Success	3	14	G121e	ULV2_Full
M300634	5	2.6542595801864968	1.4345733130715417	Ileum	Positive	MSEB0006	G121eD101C	B12	106635.9	42106.55	5000	Success	2	14	G121e	ULV2_Full
M300635	0	1	0	Ileum	NegativeReaction	MSEB0006	G121eD101R	B12	NA	NA	NA	NA	0	14	G121e	ULV2_Full
M300636	4	2.513021491515114	1.4861401140177708	Ileum	Positive	MSEB0006	G121eD101C	B12	106545.5	42220.7	5000	Success	2	14	G121e	ULV2_Full
M300637	0	1	0	Ileum	Positive	MSEB0006	G121eD101C	B12	106948.1	42956.5	5000	Success	2	14	G121e	ULV2_Full
M300638	4	2.7127189664881746	1.4656758769789004	Ileum	Positive	MSEB0006	G121eD101C	B12	106647	42288.86	5000	Success	2	14	G121e	ULV2_Full
M300639	7	2.5625940668878804	1.4882680379078623	Ileum	Positive	MSEB0006	G121eD101C	B12	106800.5	41821.88	5000	Success	2	14	G121e	ULV2_Full
M300640	3	2.025162351520378	1.265242797150135	Ileum	Positive	MSEB0006	G121eD101C	B12	107052.7	42525.49	5000	Success	2	14	G121e	ULV2_Full
M300641	0	1	0	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	103203.4	38334.96	5000	Success	1	14	G121e	ULV2_Full
M300642	1	1	1	Ileum	Positive	MSEB0006	G121eD101C	B12	108030.7	43599.5	5000	Fail	4	14	G121e	ULV2_Full
M300643	0	1	0	Ileum	NegativeMebrane	MSEB0006	G121eD101M	B12	101876.9	39000.58	5000	Success	1	14	G121e	ULV2_Full
M300644	5	1.6000038267528358	1.2090140251612203	Ileum	Positive	MSEB0006	G121eD101C	B12	NA	NA	NA	Success	1	14	G121e	ULV2_Full
M300645	5	1.5028936999600124	1.2405776693444526	Ileum	Positive	MSEB0006	G121eD101C	B12	107988.2	43509.47	5000	Success	1	14	G121e	ULV2_Full
M300646	0	1	0	Ileum	NegativeCollection	MSEB0006	G121eD101Z	B12	NA	NA	NA	NA	0	14	G121e	ULV2_Full
M300647	5	3.1543877531134816	1.458594311144894	Ileum	Positive	MSEB0006	G121eD101C	B12	107969.5	43138.84	5000	Success	2	14	G121e	ULV2_Full
M300648	5	1.7588637810267709	1.2667520859211303	Ileum	Positive	MSEB0006	G121eD101C	B12	107883.7	43169.5	5000	Success	1	14	G121e	ULV2_Full
M300649	0	1	0	Ileum	Positive	MSEB0006	G121eD101C	B12	107984.2	43047.52	5000	Success	1	14	G121e	ULV2_Full
M300650	0	1	0	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	13017.48022	NA	NA	NA	0	15	G121e	ULV2_Full
M300651	102	46.74268365131451	3.9405279908586484	Caecum right	Positive	MSEB0009	G121eI102A	B12	11906.706	17302.784	5000	Success	1	15	G121e	ULV2_Full
M300652	100	42.9236339187889	4.126862929813466	Caecum right	Positive	MSEB0009	G121eI102A	B12	14050.46	17001.916	5000	Success	1	15	G121e	ULV2_Full
M300653	0	1	0	Caecum right	Positive	MSEB0009	G121eI102A	B12	15132.646	18629.716	5000	Success	1	15	G121e	ULV2_Full
M300654	96	37.2513634836035	3.8414292867011186	Caecum right	Positive	MSEB0009	G121eI102A	B12	14807.47	19475.984	5000	Success	1	15	G121e	ULV2_Full
M300655	0	1	0	Caecum right	Positive	MSEB0009	G121eI102A	B12	12921.636	17630.904	5000	NA	0	15	G121e	ULV2_Full
M300656	7	6.27501093816736	2.4165874401138354	Caecum right	Positive	MSEB0009	G121eI102A	B12	15095.242	18655.456	5000	Success	1	15	G121e	ULV2_Full
M300657	34	19.73625647145922	3.566883761335673	Caecum right	Positive	MSEB0009	G121eI102A	B12	15154.326	19081.924	5000	NA	0	15	G121e	ULV2_Full
M300658	99	42.31490146966694	4.048139861271728	Caecum right	Positive	MSEB0009	G121eI102A	B12	9192.814	19234.392	5000	Success	1	15	G121e	ULV2_Full
M300659	119	42.30936506977413	4.00576204659714	Caecum right	Positive	MSEB0009	G121eI102A	B12	12511.076	19365.328	5000	Success	1	15	G121e	ULV2_Full
M300660	0	1	0	Caecum right	Positive	MSEB0009	G121eI102A	B12	11930.67	19818.576	5000	Success	1	15	G121e	ULV2_Full
M300661	103	39.60820713942093	3.916912083916198	Caecum right	Positive	MSEB0009	G121eI102A	B12	11699.514	20259.004	5000	Success	1	15	G121e	ULV2_Full
M300662	104	44.515528523922434	3.8301145803638263	Caecum right	Positive	MSEB0009	G121eI102A	B12	13804.91	20094.724	5000	Success	1	15	G121e	ULV2_Full
M300663	0	1	0	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300664	15	11.273183541151093	3.1400892523358848	Caecum right	Positive	MSEB0009	G121eI102A	B12	12513.988	21896.24	5000	Success	1	15	G121e	ULV2_Full
M300665	4	2.814785655495258	1.706999610654059	Caecum right	Positive	MSEB0009	G121eI102A	B12	9669.578	19330.824	5000	Success	1	15	G121e	ULV2_Full
M300666	111	42.79693018874663	4.007187386789734	Caecum right	Positive	MSEB0009	G121eI102A	B12	10924.656	21602.492	5000	Fail	3	15	G121e	ULV2_Full
M300667	0	1	0	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300668	108	39.78420217584269	3.988562042717423	Caecum right	Positive	MSEB0009	G121eI102A	B12	14208.788	22187.84	5000	Fail	3	15	G121e	ULV2_Full
M300669	104	41.185040771604235	4.10160989914599	Caecum right	Positive	MSEB0009	G121eI102A	B12	13658.99	21278.184	5000	Success	1	15	G121e	ULV2_Full
M300670	85	39.36177146767547	3.8619182888024697	Caecum right	Positive	MSEB0009	G121eI102A	B12	15752.91	20908.008	5000	Fail	3	15	G121e	ULV2_Full
M300671	104	40.283872562735056	4.07808899684999	Caecum right	Positive	MSEB0009	G121eI102A	B12	13086.41	21703.248	5000	Fail	3	15	G121e	ULV2_Full
M300672	94	40.06199380048874	3.8693629723034104	Caecum right	Positive	MSEB0009	G121eI102A	B12	13311.294	20916.06	5000	Success	3	15	G121e	ULV2_Full
M300673	98	38.52829983257601	4.040940150333248	Caecum right	Positive	MSEB0009	G121eI102A	B12	14520.766	22307.328	5000	Success	1	15	G121e	ULV2_Full
M300674	109	44.86496161598132	3.9549500197741816	Caecum right	Positive	MSEB0009	G121eI102A	B12	12054.27	23154.78	5000	Fail	3	15	G121e	ULV2_Full
M300675	114	44.86123645186085	3.950534797986116	Caecum right	Positive	MSEB0009	G121eI102A	B12	13501.846	20960.876	5000	Success	1	15	G121e	ULV2_Full
M300676	96	39.18919473425026	4.040339929076303	Caecum right	Positive	MSEB0009	G121eI102A	B12	14952.726	23717.404	5000	Success	1	15	G121e	ULV2_Full
M300677	31	20.289760171043607	3.1910199258250915	Caecum right	Positive	MSEB0009	G121eI102A	B12	12773.38	21535.84	5000	Success	1	15	G121e	ULV2_Full
M300678	116	43.357714975014375	4.005745675863054	Caecum right	Positive	MSEB0009	G121eI102A	B12	12504.528	21793.468	5000	Success	1	15	G121e	ULV2_Full
M300679	104	41.57897634537373	4.003807461646961	Caecum right	Positive	MSEB0009	G121eI102A	B12	12589.016	20536.832	5000	Success	1	15	G121e	ULV2_Full
M300680	112	44.93721181203097	4.0438443624143305	Caecum right	Positive	MSEB0009	G121eI102A	B12	13215.834	22405.848	5000	Success	1	15	G121e	ULV2_Full
M300681	2	1.9996372800921323	1.767237605658157	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300682	6	5.048966346365047	2.8488425357872864	Caecum right	Positive	MSEB0009	G121eI102A	B12	14464.852	18168.78	5000	Fail	3	15	G121e	ULV2_Half
M300683	96	39.99115709184594	4.082336313442652	Caecum right	Positive	MSEB0009	G121eI102A	B12	15660.538	17029.204	5000	Success	1	15	G121e	ULV2_Half
M300684	97	38.32791319710812	3.9944593783569946	Caecum right	Positive	MSEB0009	G121eI102A	B12	13001.74	18200.656	5000	Success	3	15	G121e	ULV2_Half
M300685	0	1	0	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300686	0	1	0	Caecum right	Positive	MSEB0009	G121eI102A	B12	14173.26	17741.148	5000	Success	1	15	G121e	ULV2_Half
M300687	106	42.965866567441935	4.010000970565157	Caecum right	Positive	MSEB0009	G121eI102A	B12	14317.052	18439.384	5000	Success	1	15	G121e	ULV2_Half
M300688	102	41.10631037764467	3.9092339818144484	Caecum right	Positive	MSEB0009	G121eI102A	B12	14710.394	18826.568	5000	Fail	3	15	G121e	ULV2_Half
M300689	94	40.781853025190074	4.012924609235879	Caecum right	Positive	MSEB0009	G121eI102A	B12	14280.268	17123.5	5000	Success	1	15	G121e	ULV2_Half
M300690	97	40.76326155608394	4.1168251681194254	Caecum right	Positive	MSEB0009	G121eI102A	B12	9132.332	19004.864	5000	Success	1	15	G121e	ULV2_Half
M300691	117	43.804453648114404	4.030930496523174	Caecum right	Positive	MSEB0009	G121eI102A	B12	9914.94	18812.936	5000	Fail	3	15	G121e	ULV2_Half
M300692	105	44.98605532284953	4.103517204306071	Caecum right	Positive	MSEB0009	G121eI102A	B12	12814.906	20311.484	5000	Success	2	15	G121e	ULV2_Half
M300693	0	1	0	Caecum right	NegativeCollection	MSEB0009	G121eI102Z	B12	NA	NA	NA	NA	0	15	G121e	ULV2_Half
M300694	84	37.691549034040214	3.9017155991351453	Caecum right	Positive	MSEB0009	G121eI102A	B12	12365.162	19024.052	5000	Success	1	15	G121e	ULV2_Half
M300695	97	42.198415081282164	3.8977657752155768	Caecum right	Positive	MSEB0009	G121eI102A	B12	13549.8	18825.928	5000	Success	2	15	G121e	ULV2_Half
M300696	103	41.230140854005896	4.035412935755038	Caecum right	Positive	MSEB0009	G121eI102A	B12	12894.764	18832.324	5000	Success	1	15	G121e	ULV2_Half
M300697	88	40.517297495352494	4.059121326292654	Caecum right	Positive	MSEB0009	G121eI102A	B12	13465.594	19185	5000	Success	1	15	G121e	ULV2_Half
M300698	7	2.528666680998554	1.4415497676423785	Ileum	Positive	MSEB0009	G121eD102B	B02	NA	NA	NA	NA	NA	15	G121e	ULV2_Full
M300699	8	2.5950559872258445	1.4536820564398418	Ileum	Positive	MSEB0009	G121eD102C	B02	NA	NA	NA	NA	NA	15	G121e	ULV2_Full
M300700	9	3.078359837029729	1.5368976665889853	Ileum	Positive	MSEB0009	G121eD103A	B12	NA	NA	NA	NA	NA	15	G121e	ULV2_Full
M300701	8	3.259558899347119	1.5801110347035503	Ileum	Positive	MSEB0009	G121eD103C	B12	NA	NA	NA	NA	NA	15	G121e	ULV2_Full
M300702	0	1	0	Caecum right	NegativeReaction	MSEB0009	G121eI102R	NA	NA	NA	NA	NA	NA	15	G121e	ULV2_Full
M300703	0	1	0	Caecum right	NegativeReaction	MSEB0009	G121eI102R	NA	NA	NA	NA	NA	NA	15	G121e	ULV2_Full
M300704	47	26.137839906428198	3.6432715050560813	Colon	Positive	MSEB0010	G121eO301A	B11	10676.96738	15665.82062	5000	Success	1	15	G121e	ULV2_Full
M300705	62	39.30816587027652	3.647246583774377	Colon	Positive	MSEB0010	G121eO301A	B11	10812.31548	15756.81368	5000	Success	2	15	G121e	ULV2_Full
M300706	58	33.85140843517509	3.7601350324939657	Colon	Positive	MSEB0010	G121eO301A	B11	11055.41592	15656.03642	5000	Success	1	15	G121e	ULV2_Full
M300707	74	38.63229455463661	3.9050866341347716	Colon	Positive	MSEB0010	G121eO301A	B11	11216.84194	15649.18748	5000	Success	1	15	G121e	ULV2_Full
M300708	85	41.4774397020122	3.816131896889536	Colon	Positive	MSEB0010	G121eO301A	B11	11879.87418	15812.03134	5000	Fail	3	15	G121e	ULV2_Full
M300709	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	8479.77238	19536.22158	5000	Success	2	15	G121e	ULV2_Full
M300710	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300711	83	40.40293191109295	3.8568946409592226	Colon	Positive	MSEB0010	G121eO301A	B11	12278.12556	15716.47232	5000	Success	1	15	G121e	ULV2_Full
M300712	84	42.42807115775901	3.8451902845066734	Colon	Positive	MSEB0010	G121eO301A	B11	12139.9368	15889.8483	5000	Success	1	15	G121e	ULV2_Full
M300713	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	8681.18818	19729.90424	5000	Success	2	15	G121e	ULV2_Full
M300714	77	39.203233555824184	3.958937355370016	Colon	Positive	MSEB0010	G121eO301A	B11	12138.95838	16135.2228	5000	Success	1	15	G121e	ULV2_Full
M300715	84	41.93490132097546	3.806198521630898	Colon	Positive	MSEB0010	G121eO301A	B11	12164.84958	16944.14066	5000	Success	3	15	G121e	ULV2_Full
M300716	64	38.06600145862563	3.6115223643862837	Colon	Positive	MSEB0010	G121eO301A	B11	12650.44174	17948.62884	5000	Success	1	15	G121e	ULV2_Full
M300717	66	38.46182846125016	3.847630948060351	Colon	Positive	MSEB0010	G121eO301A	B11	13434.73288	19286.92338	5000	Success	2	15	G121e	ULV2_Full
M300718	96	46.39994352138073	3.86893172647236	Colon	Positive	MSEB0010	G121eO301A	B11	13238.1966	20246.16108	5000	Success	2	15	G121e	ULV2_Full
M300719	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300720	0	1	0	Colon	NegativeMebrane	MSEB0010	G121eO301M	B11	7385.37528	20281.04734	5000	Success	2	15	G121e	ULV2_Full
M300721	92	47.31707287297347	3.7452055735435064	Colon	Positive	MSEB0010	G121eO301A	B11	10372.8246	20398.47932	5000	Success	1	15	G121e	ULV2_Full
M300722	56	33.260330457420906	3.713258997811082	Colon	Positive	MSEB0010	G121eO301A	B11	11173.1095	20408.58966	5000	Success	1	15	G121e	ULV2_Full
M300724	80	43.719402399959705	3.7806754234071644	Colon	Positive	MSEB0010	G121eO301A	B11	13295.24592	18310.96776	5000	Success	1	15	G121e	ULV2_Full
M300725	21	17.44761720371604	2.92128027927248	Colon	Positive	MSEB0010	G121eO301A	B11	12939.0334	18128.53828	5000	Fail	3	15	G121e	ULV2_Full
M300726	0	1	0	Colon	NegativeReaction	MSEB0010	G121eO301R	B11	NA	NA	NA	NA	0	15	G121e	ULV2_Full
M300727	81	41.99848031836225	3.9326865726448403	Colon	Positive	MSEB0010	G121eO301A	B11	12777.0937	17606.38202	5000	Success	1	15	G121e	ULV2_Full
M300728	0	1	0	Colon	NegativeCollection	MSEB0010	G121eO301Z	B11	NA	NA	NA	NA	0	19	G121e	ULV2_Full
M300729	8	7.637585117305352	2.6116701543554353	Colon	Positive	MSEB0010	G121eO301A	B11	12551.78818	21653.41792	5000	Success	1	19	G121e	ULV2_Full
M300730	14	12.494168670022352	2.7979327184595433	Colon	Positive	MSEB0010	G121eO301A	B11	12478.73282	21318.48324	5000	Success	2	19	G121e	ULV2_Full
